Timestamp,10.06.2023:14:26:59
Scans in Average,1
Termination,10000
V_RMS(V),0.00100654757868641
V_DC (V),0.00100528204441071
RMS_Noise %,8.0437879143803
Frequency (Hz), Mag^2 (V^2 / Hz), PSD (dBV^2 / Hz), RIN (dBc / Hz), Integrated Volts RMS, Integrated RIN (%RMS) 
113.2488,3.26765148201957E-13,-124.857643127441,-64.9143295288086,1.04432010503567E-05,1.03752681656495
119.2093,2.22735834540799E-13,-126.522102355957,-66.5787887573242,1.0521315921603E-05,1.04528749006915
125.1698,1.74602413001897E-14,-137.579498291016,-77.6361846923828,1.05552796652208E-05,1.04866177106063
131.1302,8.11064273875672E-14,-130.909454345703,-70.9661331176758,1.05691854168008E-05,1.05004330054562
137.0907,1.42071124476691E-13,-128.474945068359,-68.5316314697266,1.06006038181676E-05,1.05316470305377
143.0511,3.0538996118897E-13,-125.15145111084,-65.208137512207,1.06633174604738E-05,1.05939527214301
149.0116,1.40716244156162E-13,-128.516555786133,-68.5732421875,1.07254761832718E-05,1.06557071025584
154.9721,6.74161735029581E-14,-131.712356567383,-71.76904296875,1.07543536439421E-05,1.06843967157291
160.9325,6.8368250746668E-14,-131.651458740234,-71.7081451416016,1.07731514153307E-05,1.07030722078634
166.893,1.3141478120815E-13,-128.813552856445,-68.870246887207,1.08007495689065E-05,1.07304908358152
172.8535,1.07645040164546E-13,-129.680053710938,-69.7367477416992,1.08336810474041E-05,1.07632080954807
178.8139,1.17897519279116E-13,-129.284957885742,-69.3416366577148,1.08646589566241E-05,1.07939844938109
184.7744,2.51732708420604E-13,-125.990600585938,-66.0472869873047,1.09152369724512E-05,1.08442335003141
190.7349,1.84288170809547E-13,-127.345024108887,-67.4017105102539,1.0974599839895E-05,1.09032102130904
196.6953,1.1448788427515E-13,-129.412399291992,-69.4690933227539,1.10150925405718E-05,1.09434395092848
202.6558,1.31347466473623E-13,-128.815780639648,-68.8724670410156,1.10482989693025E-05,1.09764299306358
208.6163,1.7060489578095E-13,-127.680084228516,-67.7367706298828,1.10889493767288E-05,1.10168159076995
214.5767,9.83649382154302E-14,-130.071594238281,-70.1282806396484,1.11250344201799E-05,1.10526662184201
220.5372,1.67125059912602E-13,-127.769584655762,-67.8262710571289,1.11605381905031E-05,1.1087939037187
226.4977,1.89993503833345E-13,-127.212615966797,-67.2693023681641,1.12081179935981E-05,1.11352093342922
232.4581,1.48032631841488E-13,-128.296432495117,-68.3531112670898,1.12529687347607E-05,1.11797683219768
238.4186,1.43235544480073E-13,-128.439498901367,-68.4961776733398,1.1291472541467E-05,1.12180216619297
244.379,5.40323283833762E-14,-132.673461914063,-72.7301483154297,1.13174757003974E-05,1.12438556706551
250.3395,4.42394654479964E-14,-133.541900634766,-73.5985870361328,1.13304072741108E-05,1.12567031246526
256.3,8.79187852357669E-14,-130.559188842773,-70.6158676147461,1.13477747723868E-05,1.1273957647582
262.2604,1.29934960568789E-13,-128.862747192383,-68.9194259643555,1.13763458711182E-05,1.13023428916941
268.2209,1.64215052791405E-13,-127.84587097168,-67.9025573730469,1.14148096124277E-05,1.13405564268751
274.1814,1.0476778697921E-13,-129.797729492188,-69.8544082641602,1.144986951327E-05,1.13753882635261
280.1418,1.95990863479286E-14,-137.07763671875,-77.1343307495117,1.14660435628458E-05,1.13914571011233
286.1023,4.94052149709508E-15,-143.062271118164,-83.1189575195313,1.14692322553989E-05,1.13946250512735
292.0627,6.69214008060711E-15,-141.744354248047,-81.8010330200195,1.14707435012988E-05,1.13961264665388
298.0232,1.54347117131692E-14,-138.115020751953,-78.1716995239258,1.14736175550025E-05,1.13989818245612
303.9837,2.49305351947745E-14,-136.032684326172,-76.0893707275391,1.14788587375481E-05,1.14041889132837
309.9442,6.38471829006448E-14,-131.948577880859,-72.0052719116211,1.14903775158528E-05,1.14156327620879
315.9046,1.18620567567026E-13,-129.258407592773,-69.3150863647461,1.15140162557284E-05,1.14391177322732
321.8651,7.47848631969343E-14,-131.261856079102,-71.3185501098633,1.15390192353016E-05,1.1463958067795
327.8256,4.70901431981474E-14,-133.270706176758,-73.3273849487305,1.15547471484949E-05,1.1479583671121
333.786,7.4544119949375E-14,-131.275863647461,-71.3325500488281,1.15704225977285E-05,1.14951571517647
339.7465,4.95352166277977E-14,-133.050857543945,-73.1075439453125,1.15863913011087E-05,1.15110219789406
345.7069,3.93241922817348E-14,-134.053405761719,-74.1100845336914,1.15978138343182E-05,1.15223702087226
351.6674,5.28016365327251E-14,-132.773529052734,-72.8302154541016,1.16096443874661E-05,1.15341238042788
357.6279,3.15327451971825E-14,-135.01237487793,-75.0690689086914,1.16204637688549E-05,1.15448728057348
363.5883,2.30202446497666E-14,-136.37890625,-76.4355850219727,1.16274570894124E-05,1.15518206348346
369.5488,4.95696228123658E-14,-133.047836303711,-73.1045303344727,1.16367561452134E-05,1.15610592004006
375.5093,4.08258923319712E-14,-133.890640258789,-73.9473266601563,1.16483257982123E-05,1.15725535929597
381.4697,1.7335710253974E-14,-137.610580444336,-77.6672668457031,1.16557637476335E-05,1.15799431586183
387.4302,6.01763664083895E-16,-152.20573425293,-92.2624282836914,1.1658056709497E-05,1.15822212047952
393.3907,2.07263368186735E-14,-136.834777832031,-76.8914642333984,1.16607825250803E-05,1.15849292889842
399.3511,4.17873858774935E-15,-143.78955078125,-83.8462371826172,1.16639646859832E-05,1.15880907499725
405.3116,2.62105497010149E-15,-145.815231323242,-85.8719253540039,1.16648333510584E-05,1.15889537643928
411.272,8.16009560367092E-15,-140.883041381836,-80.9397354125977,1.16662104969103E-05,1.15903219519293
417.2325,1.46550898231605E-14,-138.340118408203,-78.3968048095703,1.16691243066234E-05,1.15932168073487
