Timestamp,10.04.2023:13:04:14,,,,
Scans in Average,6,,,,
Termination,10000,,,,
V_RMS(V),0.553909913,,,,
V_DC (V),0.546626599,,,,
RMS_Noise %,18.40850752,,,,
Frequency (Hz), Mag^2 (V^2 / Hz), PSD (dBV^2 / Hz), RIN (dBc / Hz), Integrated Volts RMS, Integrated RIN (%RMS) 
846.386,6.75E-10,-91.70684814,-86.4052124,0.09997993,18.4075019
852.3464,1.03E-12,-119.861969,-114.5603256,0.09997994,18.40750375
858.3069,4.02E-13,-123.9578705,-118.6562271,0.09997994,18.40750376
864.2673,8.64E-13,-120.6343613,-115.3327179,0.09997994,18.40750376
870.2278,6.80E-13,-121.6749725,-116.3733292,0.09997994,18.40750376
876.1883,6.78E-13,-121.6858902,-116.3842468,0.09997994,18.40750377
882.1487,5.41E-13,-122.6665802,-117.3649368,0.09997994,18.40750377
888.1092,4.42E-13,-123.5429993,-118.2413559,0.09997994,18.40750377
894.0697,3.56E-13,-124.4900513,-119.1884079,0.09997994,18.40750378
900.0302,1.00E-12,-119.9797897,-114.6781464,0.09997994,18.40750378
905.9906,8.51E-13,-120.7003403,-115.3987045,0.09997994,18.40750379
911.951,5.71E-13,-122.4321365,-117.1304932,0.09997994,18.40750379
917.9115,7.95E-13,-120.9971237,-115.6954803,0.09997994,18.40750379
923.872,9.93E-13,-120.0311813,-114.7295456,0.09997994,18.4075038
929.8325,1.42E-12,-118.4808807,-113.1792374,0.09997994,18.4075038
935.7929,1.77E-12,-117.5139618,-112.2123184,0.09997994,18.40750381
941.7534,1.63E-12,-117.8829193,-112.5812759,0.09997994,18.40750382
947.7139,1.30E-12,-118.8518066,-113.5501633,0.09997994,18.40750383
953.6743,2.62E-09,-85.81040955,-80.5087738,0.099979979,18.40751103
959.6348,1.10E-08,-79.57950592,-74.27787018,0.099980183,18.40754846
965.5952,2.89E-09,-85.39710999,-80.09546661,0.09998039,18.40758661
971.5557,4.15E-13,-123.8206406,-118.5189972,0.099980433,18.40759453
977.5162,4.51E-13,-123.4586105,-118.1569672,0.099980433,18.40759454
983.4766,2.75E-12,-115.6042633,-110.3026276,0.099980433,18.40759454
989.4371,1.86E-12,-117.3157654,-112.014122,0.099980433,18.40759456
995.3976,3.58E-13,-124.4567795,-119.1551437,0.099980433,18.40759456
1001.358,4.28E-13,-123.6905441,-118.3889008,0.099980433,18.40759457
1007.318,5.39E-13,-122.6861954,-117.384552,0.099980433,18.40759457
1013.279,4.13E-13,-123.8428879,-118.5412521,0.099980433,18.40759457
1019.239,5.73E-13,-122.4159546,-117.1143112,0.099980433,18.40759457
1025.2,4.82E-13,-123.1653976,-117.8637619,0.099980433,18.40759458
1031.16,3.88E-13,-124.1167603,-118.8151169,0.099980433,18.40759458
1037.121,3.86E-13,-124.1359024,-118.8342667,0.099980433,18.40759458
1043.081,3.84E-13,-124.157959,-118.8563232,0.099980433,18.40759458
1049.042,1.17E-12,-119.3198471,-114.0182037,0.099980433,18.40759459
1055.002,1.87E-12,-117.290535,-111.9888916,0.099980433,18.4075946
1060.963,9.80E-13,-120.0875931,-114.7859497,0.099980433,18.4075946
1066.923,9.67E-13,-120.1456223,-114.8439865,0.099980433,18.40759461
1072.884,2.27E-10,-96.43983459,-91.13819885,0.099980437,18.40759523
1078.844,1.43E-09,-88.44011688,-83.13848114,0.099980461,18.40759979
1084.805,5.47E-10,-92.62175751,-87.32011414,0.099980491,18.40760522
